experiment,config,strategy,throughput,p50,p90,p99,p99.9,max,errorRate,slowRequests
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,70322.47,12.00,17.00,63.00,99.00,123.00,0.00,40
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,81319.39,12.00,14.00,60.00,66.00,82.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,10688.46,112.00,114.00,160.00,172.00,194.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,83034.63,12.00,14.00,59.00,70.00,81.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1250| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,82737.01,12.00,14.00,60.00,71.00,81.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,87902.49,12.00,14.00,61.00,66.00,71.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,11120.92,113.00,134.00,202.00,234.00,277.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,78500.30,12.00,15.00,64.00,120.00,140.00,0.00,139
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1350| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,83281.34,12.00,18.00,62.00,74.00,89.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,94017.11,12.00,14.00,59.00,67.00,70.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,12363.94,112.00,114.00,162.00,171.00,216.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,93393.61,12.00,14.00,60.00,71.00,85.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1450| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,90632.36,12.00,15.00,61.00,73.00,87.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,100231.41,12.00,14.00,58.00,68.00,71.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,13161.86,112.00,115.00,160.00,164.00,189.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,103442.05,12.00,14.00,58.00,69.00,75.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1550| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,100038.62,12.00,14.00,59.00,72.00,82.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,105697.64,12.00,14.00,60.00,69.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,13984.34,112.00,114.00,160.00,167.00,197.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,104732.05,12.00,14.00,59.00,70.00,83.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1650| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,106025.10,12.00,14.00,60.00,72.00,84.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,112116.30,12.00,14.00,59.00,68.00,72.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,14975.59,112.00,114.00,160.00,163.00,174.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,115642.97,12.00,14.00,57.00,70.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1750| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,106696.47,12.00,17.00,61.00,75.00,93.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,117160.97,12.00,14.00,59.00,69.00,72.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,15661.33,112.00,114.00,160.00,164.00,164.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,120347.62,12.00,14.00,58.00,69.00,76.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1850| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,119273.77,12.00,14.00,60.00,72.00,84.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,122408.96,12.00,14.00,60.00,69.00,73.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,16525.81,112.00,114.00,160.00,164.00,183.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,126211.70,12.00,14.00,58.00,70.00,75.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=1950| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,42036.83,13.00,77.00,398.00,527.00,570.00,0.00,4247
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,92655.16,13.00,30.00,70.00,87.00,98.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,17284.70,112.00,116.00,160.00,167.00,179.00,0.00,50000
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],P2CLeastConnections,126774.42,12.00,14.00,59.00,71.00,85.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2050| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],Prequal,125838.08,12.00,16.00,60.00,72.00,80.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],RoundRobin,133000.49,12.00,14.00,60.00,70.00,73.00,0.00,0
ConcurrencySweep,SimulationConfig[numServers=1000| numClients=2150| numRequests=50000| gcPauseMs=50| gcIntervalMs=100| baseLatencyMs=10| prequalProbeCount=3| prequalPoolSize=16| prequalQuantile=0.8| experimentName=ConcurrencySweep],LeastConnections,17652.64,113.00,118.00,180.00,212.00,241.00,0.00,50000
